user_id,country,age,session_duration,pages_viewed,click_through_rate,total_orders,avg_order_value,loyalty_score,conversion
U1191,Brazil,46,558,13,0.13,3,66.76,9,0
U1192,Germany,19,423,8,0.78,14,57.21,5,0
U1193,China,40,258,4,0.74,11,11.99,2,1
U1194,Germany,36,472,10,0.87,7,31.48,5,0
U1195,India,48,398,19,0.82,10,68.96,4,0
U1196,India,22,488,18,0.66,8,19.59,8,0
U1197,US,36,198,5,0.1,2,81.5,5,1
U1198,Brazil,51,116,19,0.75,4,73.7,9,0
U1199,Germany,27,291,23,0.81,3,117.4,9,1
U1200,China,42,494,22,0.77,13,102.37,3,1
U1201,India,19,443,16,0.51,11,72.43,6,0
U1202,US,28,253,1,0.26,9,41.45,6,0
U1203,US,48,593,12,0.81,14,111.76,4,0
U1204,Germany,32,577,24,0.7,5,109.1,3,1
U1205,India,26,244,2,0.93,10,31.46,1,0
U1206,Brazil,40,351,21,0.19,9,138.07,7,0
U1207,India,36,394,8,0.25,3,19.02,5,1
U1208,Germany,26,175,18,0.24,7,17.71,7,1
U1209,Germany,52,108,16,0.76,2,36.23,1,0
U1210,India,38,141,5,0.22,10,137.32,8,0
U1211,Germany,26,392,22,0.11,4,82.8,3,0
U1212,India,45,394,13,0.95,12,120.31,7,0
U1213,China,24,591,19,0.07,0,41.9,3,0
U1214,India,33,280,3,0.8,12,78.63,3,1
U1215,India,33,382,8,0.38,14,60.16,9,0
U1216,Germany,50,62,12,0.81,5,125.9,2,1
U1217,Germany,21,265,2,0.55,10,13.16,4,1
U1218,US,21,99,11,0.86,4,44.14,6,0
U1219,US,56,118,12,0.88,7,31.36,3,1
U1220,China,57,566,18,0.06,8,130.29,7,0
U1221,US,34,181,13,0.12,7,75.46,7,1
U1222,India,54,538,5,0.28,7,66.59,5,1
U1223,Germany,56,155,22,0.65,11,72.93,3,0
U1224,US,46,473,12,0.85,13,146.07,2,0
U1225,US,53,294,2,0.46,12,129.04,4,0
U1226,China,55,121,5,0.6,2,108.89,4,0
U1227,China,56,315,7,0.22,3,50.67,8,0
U1228,India,54,407,24,0.77,14,33.12,8,0
U1229,Germany,52,183,12,0.92,10,139.0,5,1
U1230,China,24,541,16,0.29,3,69.23,6,0
U1231,US,44,376,23,0.5,14,49.03,8,1
U1232,Germany,45,563,8,0.13,14,75.93,1,1
U1233,Germany,39,107,9,0.55,13,138.5,5,0
U1234,US,31,468,15,0.5,10,64.19,4,1
U1235,China,24,195,5,0.18,4,88.77,4,0
U1236,US,54,260,13,0.45,12,122.42,2,0
U1237,Germany,39,309,5,0.35,8,69.8,1,1
U1238,Brazil,22,373,11,0.52,11,42.7,6,0
U1239,Brazil,19,427,10,0.58,8,149.23,7,1
U1240,India,44,488,20,0.06,9,143.92,5,1
U1241,US,38,539,13,0.73,12,128.09,8,1
U1242,US,55,373,9,0.69,11,106.37,9,1
U1243,India,32,559,21,0.38,13,51.28,2,1
U1244,India,38,414,14,0.1,0,137.88,4,0
U1245,India,27,544,18,0.73,13,48.58,9,0
U1246,Germany,40,270,15,0.91,13,122.11,5,1
U1247,US,56,103,10,0.27,7,138.56,3,0
U1248,Germany,22,151,24,0.34,13,94.42,6,0
U1249,India,18,324,7,0.22,0,122.43,3,0
U1250,US,30,279,8,0.57,1,120.84,5,1
U1251,Germany,38,501,3,0.19,6,37.04,3,0
U1252,Germany,43,460,15,0.37,14,103.51,6,0
U1253,India,38,459,16,0.68,7,23.09,5,0
U1254,US,35,549,4,0.55,0,81.1,9,0
U1255,India,54,544,21,0.4,14,32.71,3,0
U1256,US,49,529,6,0.43,2,68.29,6,0
U1257,Brazil,53,504,1,0.56,6,126.62,8,1
U1258,China,34,328,4,0.06,12,148.2,7,0
U1259,China,52,326,11,0.12,8,54.51,6,0
U1260,China,28,113,12,0.84,7,84.47,2,1
U1261,India,38,587,5,0.12,7,81.58,7,0
U1262,Brazil,43,579,23,0.69,14,143.62,8,0
U1263,US,21,118,21,0.88,8,77.0,1,0
U1264,Germany,51,99,16,0.29,9,107.87,9,1
U1265,US,35,296,13,0.38,2,139.05,4,1
U1266,Germany,57,445,13,0.56,7,62.27,8,0
U1267,US,52,359,17,0.84,0,136.3,7,0
U1268,Brazil,58,454,7,0.9,7,138.44,7,0
U1269,Germany,46,266,8,0.72,12,140.29,2,0
U1270,India,46,395,13,0.13,6,47.86,1,1
U1271,US,55,573,23,0.65,12,66.05,4,1
U1272,US,59,237,16,0.42,14,131.86,2,0
U1273,Germany,38,455,4,0.47,7,60.28,8,1
U1274,India,59,430,8,0.09,0,94.04,7,0
U1275,India,30,377,16,0.22,5,26.53,8,0
U1276,Brazil,58,428,21,0.76,6,17.88,6,0
U1277,India,34,443,10,0.46,13,67.68,1,0
U1278,India,26,121,12,0.32,10,91.05,9,1
U1279,India,58,564,12,0.4,4,64.98,6,0
U1280,China,18,298,5,0.82,13,90.88,1,0
U1281,Brazil,19,254,16,0.72,4,82.11,1,1
U1282,US,46,281,1,0.3,6,106.0,8,1
U1283,Germany,50,120,9,0.16,14,100.93,6,1
U1284,US,27,188,12,0.28,10,69.39,8,1
U1285,Brazil,57,215,5,0.88,14,69.5,8,0
U1286,Germany,38,437,22,0.57,2,29.71,8,1
U1287,Brazil,45,496,20,0.53,5,81.85,7,1
U1288,India,28,266,22,0.59,6,92.21,7,1
U1289,Germany,51,447,24,0.38,0,76.71,4,1
U1290,India,25,539,3,0.78,11,55.6,9,0
U1291,US,39,399,5,0.52,1,111.03,2,1
U1292,US,25,399,2,0.16,11,20.45,9,0
U1293,Germany,32,263,14,0.17,3,138.02,3,0
U1294,Germany,34,220,2,0.53,12,12.89,2,0
U1295,Brazil,40,599,13,0.89,7,144.73,4,1
U1296,Brazil,41,451,7,0.33,10,74.73,5,0
U1297,India,36,593,10,0.83,12,67.77,2,0
U1298,Germany,22,129,13,0.74,13,45.9,1,0
U1299,US,49,464,16,0.27,9,11.41,5,1
U1300,Brazil,18,576,14,0.08,5,48.47,9,0
U1301,Brazil,40,179,11,0.14,0,25.32,5,1
U1302,US,54,276,10,0.71,9,102.37,9,1
U1303,Brazil,25,115,6,0.23,4,54.67,6,0
U1304,India,30,425,4,0.38,6,117.41,3,0
U1305,Germany,25,563,21,0.5,14,38.97,4,1
U1306,US,40,514,1,0.7,12,136.03,4,1
U1307,Germany,18,163,7,0.15,5,83.22,1,1
U1308,Brazil,41,136,24,0.42,12,26.03,3,0
U1309,Brazil,52,289,9,0.49,12,66.12,3,1
U1310,US,41,317,8,0.54,11,38.95,1,0
U1311,India,34,323,5,0.79,8,37.96,9,0
U1312,China,22,390,19,0.2,7,80.89,1,1
U1313,US,37,241,10,0.78,14,104.06,9,0
U1314,China,38,86,11,0.67,3,137.63,1,1
U1315,China,57,335,15,0.55,12,80.3,2,1
U1316,India,48,358,6,0.68,10,145.22,2,1
U1317,China,53,150,15,0.42,11,141.83,6,0
U1318,China,28,539,5,0.17,4,131.11,7,0
U1319,India,32,517,19,0.65,6,80.0,1,1
U1320,China,36,510,22,0.52,7,29.73,3,0
U1321,China,24,424,19,0.63,4,40.51,2,0
U1322,China,45,410,10,0.35,8,100.67,8,1
U1323,US,22,459,12,0.87,13,69.05,9,0
U1324,US,22,312,22,0.58,9,30.55,2,1
U1325,US,47,518,4,0.13,11,77.06,2,0
U1326,India,49,558,18,0.45,3,12.44,9,0
U1327,Brazil,25,567,16,0.73,3,112.75,4,1
U1328,China,27,363,8,0.76,12,20.3,5,1
U1329,China,55,560,4,0.5,7,98.08,9,0
U1330,India,49,225,23,0.86,0,121.02,6,0
U1331,China,45,474,12,0.29,7,28.57,9,1
U1332,US,34,521,2,0.42,4,82.61,9,0
U1333,Brazil,48,173,4,0.86,12,119.07,7,0
U1334,Germany,25,492,5,0.86,13,46.49,9,0
U1335,China,57,415,3,0.67,10,32.81,5,1
U1336,US,42,266,9,0.82,0,57.15,5,0
U1337,Germany,26,294,21,0.13,3,87.66,8,0
U1338,Brazil,19,501,18,0.83,1,90.54,4,0
U1339,Germany,32,414,11,0.34,3,28.32,9,0
U1340,US,20,574,3,0.21,7,74.06,7,0
U1341,Germany,53,267,23,0.27,4,47.56,7,1
U1342,India,21,184,2,0.43,0,127.88,3,0
U1343,Germany,31,197,9,0.28,6,53.9,4,1
U1344,China,58,398,14,0.34,0,127.42,7,1
U1345,China,58,596,4,0.17,8,70.0,5,0
U1346,India,42,127,9,0.32,2,111.72,3,1
U1347,US,27,442,13,0.57,11,81.41,1,0
U1348,China,38,78,18,0.45,2,97.07,7,1
U1349,Brazil,53,509,15,0.36,14,65.35,6,1
U1350,China,29,133,10,0.72,14,117.55,7,0
U1351,China,44,335,16,0.85,5,69.53,2,1
U1352,US,57,107,12,0.73,9,74.04,4,0
U1353,Germany,19,270,20,0.35,5,82.48,2,0
U1354,China,30,599,5,0.72,12,126.46,8,1
U1355,India,49,250,2,0.19,10,102.31,7,0
U1356,Germany,48,374,10,0.17,10,58.88,1,0
U1357,Brazil,33,172,1,0.36,5,103.84,2,0
U1358,US,49,229,7,0.78,12,99.94,2,1
U1359,Brazil,49,527,17,0.27,0,140.34,4,0
U1360,Germany,51,73,16,0.11,4,127.8,3,1
U1361,Germany,28,347,24,0.17,11,100.64,1,0
U1362,Germany,27,248,3,0.82,5,57.81,2,0
U1363,Brazil,32,214,14,0.62,7,119.14,9,1
U1364,Germany,34,530,10,0.28,12,90.53,1,0
U1365,Brazil,57,134,22,0.55,0,147.94,9,1
U1366,Germany,35,336,7,0.52,4,44.65,7,0
U1367,India,26,402,17,0.64,2,21.15,2,0
U1368,Germany,42,484,6,0.26,1,19.78,2,0
U1369,Brazil,57,570,23,0.83,10,99.6,5,1
U1370,China,31,241,22,0.33,7,141.5,5,1
U1371,Germany,42,517,4,0.67,6,10.27,4,1
U1372,China,39,123,17,0.06,9,111.61,3,0
U1373,India,47,319,9,0.39,6,101.99,4,0
U1374,US,37,252,4,0.37,4,112.52,4,0
U1375,India,38,465,7,0.54,11,59.76,2,1
U1376,Germany,49,152,23,0.12,12,124.87,5,1
U1377,China,38,489,2,0.76,8,16.26,5,1
U1378,China,52,493,17,0.25,4,115.76,5,0
U1379,Brazil,49,463,24,0.66,1,47.39,1,1
U1380,China,47,493,8,0.77,2,76.76,6,0
U1381,Brazil,56,171,23,0.56,3,125.17,2,1
U1382,US,29,434,15,0.72,14,47.99,7,0
U1383,Germany,58,118,15,0.65,4,35.93,4,0
U1384,Brazil,35,102,8,0.37,12,105.38,5,0
U1385,US,38,266,16,0.78,2,84.68,5,0
U1386,China,30,355,19,0.32,11,82.02,5,0
U1387,China,38,177,11,0.56,13,45.95,2,1
U1388,US,25,591,2,0.72,6,14.88,5,1
U1389,China,57,281,23,0.39,4,67.44,3,1
U1390,US,24,225,24,0.32,4,24.92,4,1
U1391,Brazil,40,215,17,0.46,5,136.84,2,0
U1392,Brazil,49,243,16,0.79,6,15.78,4,1
U1393,US,28,149,15,0.89,9,70.43,9,0
U1394,Brazil,39,153,13,0.54,9,17.31,8,1
U1395,Brazil,39,72,15,0.65,7,23.38,3,0
U1396,Brazil,42,497,4,0.86,8,102.24,1,0
U1397,India,39,597,16,0.14,10,100.6,1,0
U1398,Germany,45,209,12,0.26,3,14.63,6,0
U1399,China,46,67,4,0.69,4,10.16,3,0
U1400,India,30,88,3,0.79,14,21.03,4,0
U1401,Brazil,35,355,22,0.82,4,116.82,1,1
U1402,US,19,399,17,0.42,7,91.84,8,1
U1403,Brazil,46,498,22,0.13,8,15.34,1,0
U1404,Germany,38,203,18,0.44,6,78.33,5,0
U1405,Brazil,32,578,18,0.26,14,109.68,6,1
U1406,US,44,104,23,0.31,4,131.65,2,0
U1407,Germany,48,298,17,0.75,2,140.77,7,1
U1408,Brazil,32,214,12,0.12,0,55.84,7,0
U1409,Germany,40,240,23,0.79,10,29.02,1,1
U1410,China,41,274,21,0.43,8,43.17,4,1
U1411,China,30,147,24,0.59,4,118.66,4,1
U1412,Brazil,39,315,4,0.13,8,146.01,5,1
U1413,Germany,54,570,12,0.35,9,75.3,1,0
U1414,US,50,132,23,0.13,14,52.75,1,0
U1415,Brazil,20,238,22,0.92,11,70.09,7,1
U1416,China,36,271,21,0.78,12,52.67,9,1
U1417,China,40,293,20,0.46,13,45.91,1,0
U1418,Brazil,46,524,15,0.25,3,93.13,2,1
U1419,Germany,47,282,23,0.89,4,12.2,6,0
U1420,China,56,323,16,0.36,3,46.34,6,0
U1421,Germany,42,266,5,0.19,1,102.59,2,1
U1422,China,54,425,21,0.56,11,14.49,9,0
U1423,China,25,335,15,0.9,0,21.65,4,1
U1424,India,59,439,17,0.05,7,51.08,7,0
U1425,China,33,368,18,0.26,3,132.89,6,0
U1426,US,25,327,5,0.89,4,117.08,3,1
U1427,Brazil,18,123,13,0.2,5,13.1,8,0
U1428,Brazil,22,409,19,0.15,13,80.24,7,0
U1429,Germany,20,553,13,0.56,7,48.46,9,0
U1430,China,18,582,18,0.83,10,100.81,3,0
U1431,US,21,157,14,0.48,7,111.02,1,0
U1432,Germany,57,130,4,0.95,6,130.8,2,1
U1433,India,52,423,4,0.66,3,76.56,1,1
U1434,Germany,49,335,20,0.12,5,149.22,5,0
U1435,Germany,59,109,20,0.94,3,147.2,2,0
U1436,China,51,417,19,0.42,14,133.5,3,1
U1437,India,42,544,13,0.31,13,90.48,8,0
U1438,Germany,27,143,12,0.55,6,65.72,5,0
U1439,US,38,355,7,0.32,11,61.01,4,1
U1440,US,56,295,12,0.13,12,11.7,5,0
U1441,Brazil,44,115,21,0.05,11,44.88,6,0
U1442,India,44,419,4,0.45,14,110.63,7,1
U1443,India,19,169,2,0.8,12,94.51,9,1
U1444,Brazil,58,251,2,0.57,12,138.3,1,0
U1445,Germany,30,152,5,0.95,10,17.0,4,0
U1446,India,26,119,23,0.31,13,31.74,9,0
U1447,US,53,98,10,0.3,0,120.49,5,1
U1448,US,39,599,10,0.19,4,60.19,8,0
U1449,China,59,108,9,0.2,14,26.57,1,0
U1450,India,43,479,13,0.31,13,149.5,4,1
U1451,Germany,29,72,7,0.76,9,120.22,9,0
U1452,Brazil,34,95,5,0.87,11,67.22,1,0
U1453,Brazil,31,160,10,0.93,14,125.27,1,0
U1454,Germany,31,145,10,0.26,9,105.28,4,0
U1455,China,51,575,6,0.84,14,120.6,3,0
U1456,Brazil,37,282,19,0.35,3,124.13,7,1
U1457,India,28,397,21,0.15,10,21.86,3,1
U1458,China,33,225,8,0.83,6,97.22,1,0
U1459,India,48,442,1,0.62,12,10.95,2,0
U1460,US,23,435,17,0.2,8,16.08,4,0
U1461,China,36,530,7,0.44,4,136.56,1,0
U1462,Brazil,54,90,14,0.31,3,83.86,1,0
U1463,China,21,434,21,0.71,14,113.03,8,1
U1464,China,21,70,21,0.46,8,127.39,7,0
U1465,China,37,361,17,0.94,4,142.94,8,0
U1466,China,27,155,9,0.1,8,131.71,4,0
U1467,India,41,249,17,0.37,7,77.66,6,0
U1468,US,52,512,5,0.48,3,57.04,3,0
U1469,Germany,43,251,20,0.5,10,31.63,8,0
U1470,China,54,545,8,0.33,10,66.05,4,0
U1471,Brazil,55,325,6,0.71,6,61.31,3,1
U1472,China,38,483,11,0.84,4,88.34,4,0
U1473,Brazil,57,187,19,0.89,9,103.17,6,0
U1474,India,56,297,4,0.77,3,146.97,7,0
U1475,Brazil,38,414,18,0.82,4,111.97,7,1
U1476,Germany,27,171,1,0.55,4,100.12,4,0
U1477,US,55,505,13,0.79,10,56.91,8,0
U1478,Brazil,21,402,14,0.32,14,14.83,7,0
U1479,Brazil,37,204,24,0.41,8,50.34,2,1
U1480,US,34,124,1,0.34,11,117.58,8,0
U1481,Germany,24,306,11,0.47,8,38.74,9,0
U1482,China,21,549,17,0.31,5,109.71,5,0
U1483,Brazil,46,498,4,0.92,13,91.17,4,0
U1484,US,31,165,12,0.33,3,34.06,4,1
U1485,India,20,240,10,0.14,14,46.63,4,0
U1486,US,41,243,6,0.52,1,79.48,6,1
U1487,India,54,285,1,0.1,13,68.57,4,1
U1488,Germany,33,148,7,0.15,2,119.0,7,0
U1489,China,21,589,21,0.25,1,112.82,7,0
U1490,US,41,430,16,0.47,4,90.44,5,0
U1491,Brazil,51,458,24,0.44,5,125.12,5,0
U1492,Germany,47,165,14,0.77,10,88.77,8,1
U1493,US,35,330,23,0.72,4,145.01,7,1
U1494,Brazil,36,562,20,0.43,1,40.41,7,0
U1495,US,48,584,20,0.35,11,109.98,6,0
U1496,India,36,91,6,0.33,4,61.79,7,0
U1497,US,36,452,22,0.75,8,49.06,7,1
U1498,US,39,99,5,0.1,3,35.25,2,1
U1499,US,41,277,24,0.06,11,87.35,2,1
U1500,Germany,29,141,21,0.77,9,40.17,7,1
U1501,US,47,260,18,0.48,1,38.05,7,0
U1502,Brazil,55,506,15,0.17,2,148.67,7,1
U1503,India,48,487,6,0.26,2,122.24,5,1
U1504,India,53,97,19,0.89,8,114.76,1,0
U1505,US,36,270,1,0.82,3,121.17,2,0
U1506,Germany,53,503,1,0.69,14,145.65,9,1
U1507,Germany,47,386,13,0.48,0,90.26,8,1
U1508,Brazil,50,286,3,0.52,0,40.83,8,1
U1509,US,35,107,10,0.93,14,130.71,1,1
U1510,India,45,77,21,0.92,6,113.98,6,1
U1511,Germany,28,498,3,0.24,6,68.0,9,1
U1512,US,50,246,9,0.78,1,76.3,8,0
U1513,Germany,34,404,8,0.23,8,67.58,3,1
